originalScore,sentence,compoundScore,positiveScore,neutralScore,negativeScore
4,"@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.",0.5695,0.268,0.614,0.117
4,Reading my kindle2...  Love it... Lee childs is good read.,0.7964,0.47,0.53,0.0
4,"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",0.4724,0.278,0.722,0.0
4,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :),0.7772,0.285,0.593,0.122
4,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :),0.8402,0.5,0.5,0.0
4,@richardebaker no. it is too big. I'm quite happy with the Kindle2.,0.4201,0.247,0.618,0.136
0,Fuck this economy. I hate aig and their non loan given asses.,-0.802,0.0,0.556,0.444
4,Jquery is my new best friend.,0.8126,0.649,0.351,0.0
4,Loves twitter,0.5719,0.787,0.213,0.0
4,how can you not love Obama? he makes jokes about himself.,-0.3331,0.139,0.626,0.234
2,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,0.0,0.0,1.0,0.0
0,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",-0.5346,0.127,0.691,0.182
4,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",0.0,0.0,1.0,0.0
4,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,0.0,0.0,1.0,0.0
0,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",-0.6249,0.237,0.348,0.415
4,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",0.6096,0.172,0.778,0.05
0,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,-0.7096,0.067,0.696,0.238
4,i love lebron. http://bit.ly/PdHur,0.6369,0.677,0.323,0.0
0,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",0.6652,0.288,0.712,0.0
4,@Pmillzz lebron IS THE BOSS,0.0,0.0,1.0,0.0
4,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",0.8591,0.467,0.533,0.0
4,lebron and zydrunas are such an awesome duo,0.6249,0.369,0.631,0.0
4,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,0.0,0.0,1.0,0.0
4,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,0.7531,0.287,0.713,0.0
4,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",-0.7701,0.178,0.475,0.347
4,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),0.6249,0.369,0.631,0.0
4,In montreal for a long weekend of R&amp;R. Much needed.,0.0,0.0,1.0,0.0
4,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,0.7644,0.432,0.568,0.0
4,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,0.872,0.586,0.414,0.0
4,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",-0.128,0.088,0.808,0.104
2,need suggestions for a good IR filter for my canon 40D ... got some? pls DM,0.4939,0.244,0.756,0.0
2,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,0.4926,0.132,0.868,0.0
4,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",0.4404,0.146,0.854,0.0
0,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,-0.6486,0.085,0.676,0.238
0,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,-0.3612,0.0,0.902,0.098
0,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),0.4442,0.349,0.396,0.254
0,I'm itchy and miserable!,-0.68,0.0,0.263,0.737
